Episode:139 score:-89.47 avgscore:-147.34 highscore:9.31 time:0.59
Episode:140 score:-108.36 avgscore:-146.60 highscore:9.31 time:0.73
Episode:141 score:-133.71 avgscore:-147.62 highscore:9.31 time:1.33
Episode:142 score:-76.96 avgscore:-145.55 highscore:9.31 time:0.77
Episode:143 score:-138.89 avgscore:-146.88 highscore:9.31 time:0.57
Episode:144 score:-80.59 avgscore:-147.52 highscore:9.31 time:0.71
Episode:145 score:-104.98 avgscore:-145.11 highscore:9.31 time:0.97
Episode:146 score:-85.68 avgscore:-144.04 highscore:9.31 time:1.30
Episode:147 score:-168.12 avgscore:-146.02 highscore:9.31 time:0.82
Episode:148 score:-389.95 avgscore:-150.48 highscore:9.31 time:0.74
Episode:149 score:-88.51 avgscore:-150.78 highscore:9.31 time:0.78
Episode:150 score:-93.57 avgscore:-150.27 highscore:9.31 time:0.83
Episode:151 score:-93.66 avgscore:-148.54 highscore:9.31 time:0.98
Episode:152 score:-94.81 avgscore:-146.71 highscore:9.31 time:0.92
Episode:153 score:-355.53 avgscore:-152.27 highscore:9.31 time:1.11
Episode:154 score:-102.50 avgscore:-151.79 highscore:9.31 time:0.73
Episode:155 score:-62.85 avgscore:-151.32 highscore:9.31 time:0.60
Episode:156 score:-126.95 avgscore:-145.64 highscore:9.31 time:0.76
Episode:157 score:-6.55 avgscore:-144.44 highscore:9.31 time:1.21
Episode:158 score:-282.64 avgscore:-148.03 highscore:9.31 time:0.97
Episode:159 score:-86.35 avgscore:-144.16 highscore:9.31 time:0.74
Episode:160 score:-114.87 avgscore:-145.76 highscore:9.31 time:0.99
Episode:161 score:-149.88 avgscore:-143.05 highscore:9.31 time:0.84
Episode:162 score:-200.94 avgscore:-143.12 highscore:9.31 time:1.02
Episode:163 score:-72.04 avgscore:-139.09 highscore:9.31 time:0.66
Episode:164 score:-134.78 avgscore:-140.73 highscore:9.31 time:1.04
Episode:165 score:-161.54 avgscore:-142.14 highscore:9.31 time:0.87
Episode:166 score:-122.32 avgscore:-141.80 highscore:9.31 time:0.88
Episode:167 score:-92.20 avgscore:-141.14 highscore:9.31 time:0.55
Episode:168 score:-146.84 avgscore:-142.39 highscore:9.31 time:1.17
Episode:169 score:-211.91 avgscore:-142.85 highscore:9.31 time:0.86
Episode:170 score:-142.86 avgscore:-141.53 highscore:9.31 time:0.81
Episode:171 score:-245.00 avgscore:-143.97 highscore:9.31 time:0.54
Episode:172 score:-75.08 avgscore:-143.61 highscore:9.31 time:0.60
Episode:173 score:-65.89 avgscore:-140.50 highscore:9.31 time:0.99
Episode:174 score:-162.76 avgscore:-141.66 highscore:9.31 time:1.00
Episode:175 score:-93.30 avgscore:-141.37 highscore:9.31 time:0.67
Episode:176 score:-84.13 avgscore:-140.84 highscore:9.31 time:0.63
Episode:177 score:-207.36 avgscore:-140.78 highscore:9.31 time:0.82
Episode:178 score:-184.84 avgscore:-142.36 highscore:9.31 time:0.85
Episode:179 score:-90.65 avgscore:-142.50 highscore:9.31 time:1.11
Episode:180 score:-114.82 avgscore:-142.61 highscore:9.31 time:0.88
Episode:181 score:-163.05 avgscore:-143.25 highscore:9.31 time:1.11
Episode:182 score:-267.38 avgscore:-143.56 highscore:9.31 time:1.20
Episode:183 score:-244.93 avgscore:-141.78 highscore:9.31 time:1.06
Episode:184 score:-267.42 avgscore:-145.10 highscore:9.31 time:1.08
Episode:185 score:-124.34 avgscore:-146.13 highscore:9.31 time:1.09
Episode:186 score:-120.40 avgscore:-145.77 highscore:9.31 time:0.76
Episode:187 score:-63.23 avgscore:-141.82 highscore:9.31 time:0.57
Episode:188 score:-78.15 avgscore:-139.47 highscore:9.31 time:0.82
Episode:189 score:-357.51 avgscore:-144.83 highscore:9.31 time:1.46
Episode:190 score:-184.69 avgscore:-146.36 highscore:9.31 time:0.62
Episode:191 score:-88.96 avgscore:-145.46 highscore:9.31 time:0.58
Episode:192 score:-1.92 avgscore:-143.96 highscore:9.31 time:0.82
Episode:193 score:-88.32 avgscore:-142.95 highscore:9.31 time:0.63
