Episode:129 score:-109.94 avgscore:-199.52 highscore:48.67
Episode:130 score:-104.02 avgscore:-196.33 highscore:48.67
Episode:131 score:-122.58 avgscore:-188.29 highscore:48.67
Episode:132 score:-126.23 avgscore:-188.42 highscore:48.67
Episode:133 score:-89.55 avgscore:-180.86 highscore:48.67
Episode:134 score:-220.40 avgscore:-178.31 highscore:48.67
Episode:135 score:-212.45 avgscore:-179.35 highscore:48.67
Episode:136 score:-240.27 avgscore:-182.70 highscore:48.67
Episode:137 score:-42.11 avgscore:-182.12 highscore:48.67
Episode:138 score:-112.01 avgscore:-182.45 highscore:48.67
Episode:139 score:-317.27 avgscore:-182.74 highscore:48.67
Episode:140 score:-103.79 avgscore:-184.03 highscore:48.67
Episode:141 score:-469.24 avgscore:-187.74 highscore:48.67
Episode:142 score:-118.05 avgscore:-188.25 highscore:48.67
Episode:143 score:-180.27 avgscore:-185.15 highscore:48.67
Episode:144 score:-146.61 avgscore:-186.32 highscore:48.67
Episode:145 score:-152.68 avgscore:-183.41 highscore:48.67
Episode:146 score:-176.05 avgscore:-180.92 highscore:48.67
Episode:147 score:-98.74 avgscore:-181.29 highscore:48.67
Episode:148 score:-405.57 avgscore:-187.11 highscore:48.67
Episode:149 score:-405.62 avgscore:-187.58 highscore:48.67
Episode:150 score:-338.89 avgscore:-192.27 highscore:48.67
Episode:151 score:-125.67 avgscore:-195.76 highscore:48.67
Episode:152 score:-95.53 avgscore:-195.74 highscore:48.67
Episode:153 score:-60.27 avgscore:-192.29 highscore:48.67
Episode:154 score:-101.54 avgscore:-190.73 highscore:48.67
Episode:155 score:-167.10 avgscore:-187.14 highscore:48.67
Episode:156 score:-126.38 avgscore:-183.76 highscore:48.67
Episode:157 score:-100.60 avgscore:-180.31 highscore:48.67
Episode:158 score:-120.06 avgscore:-177.06 highscore:48.67
Episode:159 score:-11.49 avgscore:-171.83 highscore:48.67
Episode:160 score:-240.26 avgscore:-175.12 highscore:48.67
Episode:161 score:-137.87 avgscore:-172.87 highscore:48.67
Episode:162 score:-86.99 avgscore:-165.21 highscore:48.67
Episode:163 score:-126.66 avgscore:-163.33 highscore:48.67
Episode:164 score:-256.61 avgscore:-166.88 highscore:48.67
Episode:165 score:-87.97 avgscore:-164.45 highscore:48.67
Episode:166 score:-91.27 avgscore:-164.17 highscore:48.67
